Run, RMSE, Runtime,
1, 8.547159925290872, 404.206,
2, 8.267003312202716, 389.906,
3, 8.102795869049471, 388.822,
4, 8.038184113348425, 441.869,
5, 8.187071351637847, 400.553,
6, 8.612969868770675, 418.878,
7, 8.119971399923294, 447.297,
8, 7.976409246466213, 439.337,
9, 8.44701375251136,  393.895,
10,8.692933371182386, 416.983,
